participants,sequential_verify_mean,aggregate_verify_mean,verify_efficiency_ratio,sign_verify_time_ratio
1,0.008064751220003927,0.0069999476499981485,1.1521159333250242,0.005644552211994959
2,0.016129502440007853,0.012349258509997298,1.306111004717431,0.004279394584853286
3,0.02419425366001178,0.013941022829995972,1.735471920177522,0.0036740962713040356
4,0.03225900488001571,0.017930093949997852,1.799154258197268,0.0032894897351550055
5,0.040323756100019634,0.020892333319995942,1.930074323552266,0.0031212588378777537
6,0.04838850732002356,0.024696340759996927,1.9593391502923845,0.0029978874490150494
7,0.05645325854002749,0.02888072366999495,1.9547037389052155,0.002745370958246352
8,0.06451800976003141,0.03650661368999863,1.7672964769588257,0.0029223159650167544
9,0.07258276098003534,0.03619070008001472,2.0055638829743745,0.0027096276055021103
10,0.08064751220003927,0.039416129659996385,2.046053554615962,0.0028493378463369497
13,0.10484176586005105,0.053254923109991525,1.9686774430884675,0.002501097780742683
15,0.1209712683000589,0.05874314476000109,2.0593257101623488,0.0025913622877898504
16,0.12903601952006283,0.0646766146899995,1.9950954473814597,0.002498587948406228
19,0.1532302731800746,0.07537654191000229,2.0328641948449655,0.002493492474200396
22,0.1774245268400864,0.08747609827999668,2.028262923572328,0.0025000469191136373
25,0.20161878050009818,0.10245594621000237,1.967858264534918,0.002476231389044348
28,0.22581303416010995,0.10386039527000776,2.174197715819006,0.00239565918603113
31,0.2500072878201217,0.10553047032998847,2.369053099435277,0.0023906559803397263
34,0.27420154148013354,0.10301650513000596,2.6617243628493656,0.002324753588601571
35,0.2822662927001374,0.1058262619300217,2.6672612974536305,0.002303441844693935
37,0.2983957951401453,0.11343702624998514,2.630497334111704,0.002303239855933551
40,0.32259004880015707,0.12089092235001545,2.668438973988156,0.0023126598305465863
43,0.34678430246016884,0.1304303241199932,2.6587705336155913,0.0023798385236322647
45,0.3629138049001767,0.1377238152999894,2.6350838749977954,0.0023243873204021035
46,0.3709785561201806,0.1373101694800107,2.7017558679380027,0.0023319489097797796
49,0.3951728097801924,0.14620940867000626,2.702786457963831,0.002327450149053219
52,0.4193670634402042,0.15776313618998983,2.658206939643821,0.0022677968923983374
55,0.44356131710021596,0.16780027570002176,2.6433884881880347,0.002379337091770721
58,0.4677555707602278,0.1746506246899912,2.6782358871633267,0.0022516930625761894
61,0.49194982442023955,0.15839179565000677,3.1059047118026566,0.0022654054052408815
64,0.5161440780802513,0.16637965516998748,3.1022066823790144,0.0022663701857684156
65,0.5242088293002553,0.16840796569000305,3.112731794796409,0.0022487121583798725
67,0.5403383317402631,0.18028838721001647,2.9970778490065886,0.0022245686269198478
70,0.5645325854002748,0.18857580803000473,2.9936638813736423,0.0022343988044679114
73,0.5887268390602867,0.1881890395199798,3.128380061676133,0.00224296372962492
75,0.6048563415002945,0.19258615092001946,3.1407052823413553,0.002210043806132414
76,0.6129210927202984,0.2033962257500025,3.0134339536548205,0.002243640354176553
79,0.6371153463803102,0.2045746575199746,3.1143415030187813,0.0022414343280328757
82,0.661309600040322,0.21279977037999287,3.1076612482214285,0.0022157167234798337
85,0.6855038537003337,0.22006735313002537,3.1149729569170046,0.002253722067047137
88,0.7096981073603456,0.2302447534000157,3.0823638622824623,0.0022555092888101804
91,0.7338923610203574,0.23889724630000272,3.072000085336894,0.0022761602673290146
94,0.7580866146803691,0.24432292448997486,3.1028059125555987,0.0022028221917860255
95,0.766151365900373,0.24456238656999177,3.1327440684796666,0.0022248164880490982
97,0.7822808683403809,0.25647768635000373,3.0500932828629654,0.002233541085638311
100,0.8064751220003927,0.2618618621200494,3.0797731119420044,0.0022512093790170674
120,0.9677701464004712,0.3110454058700043,3.1113468584870625,0.0022116779962659964
150,1.209712683000589,0.3866281694599638,3.128878800244423,0.002201499935203162
180,1.4516552196007069,0.46468162592999307,3.123978092947895,0.0022277459926715332
200,1.6129502440007855,0.5152215994000017,3.1305951572665767,0.0022127612105081467
