participants,sequential_sign_mean,aggregate_sign_mean,sign_efficiency_ratio
1,0.006983652430004667,3.951156999164596e-05,176.7495554208866
2,0.013967304860009334,5.28473499946358e-05,264.29527424605146
3,0.020950957290014,5.1220659997852636e-05,409.03333324663026
4,0.02793460972001867,5.8980859998882804e-05,473.6216074256597
5,0.03491826215002333,6.52103800189252e-05,535.470919505291
6,0.041901914580028,7.403685000099358e-05,565.9602560004333
7,0.048885567010032674,7.928830001674214e-05,616.5546114585661
8,0.05586921944003734,0.0001066838600149822,523.689519972293
9,0.062852871870042,9.806331999925532e-05,640.9417085870567
10,0.06983652430004667,0.00011230986999635206,621.8200083600402
13,0.09078748159006067,0.00013319577000402204,681.6093453066807
15,0.10475478645007001,0.00015222476999724677,688.1586121100046
16,0.11173843888007468,0.00016160021000814596,691.4498370666854
19,0.13268939617008868,0.00018795083998384142,705.9792666076742
22,0.15364035346010269,0.00021869435000098747,702.534626337667
25,0.1745913107501167,0.0002537046299994472,688.1676174001914
28,0.1955422680401307,0.0002488141099934182,785.897021858219
31,0.21649322533014467,0.000252287050002451,858.1226239239843
34,0.23744418262015868,0.00023948798998617348,991.4659296020113
35,0.24442783505016336,0.0002437646399971527,1002.7206368118789
37,0.2583951399101727,0.00026127267999754623,988.9864486122294
40,0.27934609720018666,0.00027957957999660723,999.1648789356383
43,0.30029705449020067,0.0003104031099906024,967.4421577132146
45,0.31426435935021,0.0003201234900006966,981.6972798513666
46,0.32124801178021467,0.0003202003000205877,1003.2720511491076
49,0.3421989690702287,0.0003402951100019891,1005.5947294341915
52,0.3631499263602427,0.0003577747499866746,1015.0239120389806
55,0.3841008836502567,0.0003992534199824149,962.0478233277861
58,0.4050518409402707,0.0003932595999890509,1029.9858946902964
61,0.4260027982302847,0.0003588216300113345,1187.2271975823421
64,0.4469537555202987,0.00037707788999568947,1185.308837718934
65,0.45393740795030335,0.00037870104001513027,1198.669557211058
67,0.4679047128103127,0.0004010638899853802,1166.658790516815
70,0.4888556701003267,0.00042135356001381295,1160.2030135554114
73,0.5098066273903407,0.00042210118995626543,1207.7829665516047
75,0.5237739322503501,0.00042562382998767134,1230.6029299758
76,0.5307575846803547,0.00045634797997990973,1163.0545284844272
79,0.5517085419703687,0.00045854066001083994,1203.1834689585135
82,0.5726594992603827,0.0004715040099836187,1214.5379193705658
85,0.5936104565503967,0.000495970649985793,1196.8660979584185
88,0.6145614138404107,0.0005193191799935448,1183.3982597139004
91,0.6355123711304247,0.0005437684200023796,1168.7187923264164
94,0.6564633284204388,0.0005381999600285781,1219.7387164160714
95,0.6634469808504434,0.0005441064299975551,1219.333101528362
97,0.6774142857104527,0.0005728534500121895,1182.5263262288781
100,0.6983652430004668,0.0005895058800115294,1184.6620477929894
120,0.8380382916005601,0.0006879322800023147,1218.198819799153
150,1.0475478645007001,0.0008511618900138274,1230.7269354877747
180,1.25705743740084,0.0010351926300336345,1214.3222439286462
200,1.3967304860009335,0.001140062369968291,1225.1351529476244
